Account,Influence Score,Total Impressions,Total Engagements,Human Followers,Bot Followers,Tweets,Avg Tweet Quality,Avg Engagement Rate,Tweet Probability,Popularity Multiplier,DoNotUse
1,5.593,487905,23925,1082,0,1000,0.100,0.050,1.000,1.021,0
2,5.057,442635,21632,982,10,1000,0.100,0.050,1.000,1.021,10
3,7.304,634356,31243,1450,20,1000,0.100,0.050,1.000,1.021,20
4,11.866,1024891,50758,2353,30,1000,0.100,0.050,1.000,1.034,30
5,9.447,817501,40408,1769,40,1000,0.100,0.050,1.000,1.021,40
6,8.905,771625,38089,1669,50,1000,0.100,0.050,1.000,1.022,50
7,13.833,1192730,59171,2731,60,1000,0.100,0.050,1.000,1.036,60
8,12.968,1118902,55469,2468,70,1000,0.100,0.050,1.000,1.037,70
9,13.023,1123475,55706,2326,80,1000,0.100,0.050,1.000,1.034,80
10,12.004,1036346,51347,2224,90,1000,0.100,0.050,1.000,1.031,90
1,4.418,384547,18756,861,0,1000,0.100,0.050,1.000,1.018,0
2,4.874,423487,20690,943,10,1000,0.100,0.050,1.000,1.013,10
3,6.434,555655,27312,1281,20,1000,0.100,0.050,1.000,1.025,20
4,7.629,657096,32384,1413,30,1000,0.100,0.050,1.000,1.018,30
5,8.457,727515,35902,1570,40,1000,0.100,0.050,1.000,1.030,40
6,9.957,854673,42270,1884,50,1000,0.100,0.050,1.000,1.023,50
7,11.235,963011,47693,2007,60,1000,0.100,0.050,1.000,1.030,60
8,15.160,1296568,64354,2966,70,1000,0.100,0.050,1.000,1.044,70
9,14.994,1282547,63652,2767,80,1000,0.100,0.050,1.000,1.037,80
10,16.841,1439349,71492,3168,90,1000,0.100,0.050,1.000,1.037,90
1,4.405,415150,20294,956,0,1000,0.100,0.050,1.000,1.019,0
2,4.227,398920,19474,844,10,1000,0.100,0.050,1.000,1.015,10
3,5.505,516644,25362,1124,20,1000,0.100,0.050,1.000,1.021,20
