Account,Influence Score,Total Impressions,Total Engagements,Human Followers,Bot Followers,Tweets,Avg Tweet Quality,Avg Engagement Rate,Tweet Probability,Popularity Multiplier
7,11.226,563013,27685,1265,6,1000,0.100,0.050,1.000,1.016,6
8,7.998,404198,19725,934,7,1000,0.100,0.050,1.000,1.017,7
9,8.282,418170,20424,918,8,1000,0.100,0.050,1.000,1.018,8
10,8.767,442056,21620,964,9,1000,0.100,0.050,1.000,1.017,9
1,7.165,321186,15602,747,0,1000,0.100,0.050,1.000,1.015,0
2,8.310,371565,18096,871,1,1000,0.100,0.050,1.000,1.016,1
3,7.411,332262,16138,735,2,1000,0.100,0.050,1.000,1.014,2
4,10.591,470310,23063,1017,3,1000,0.100,0.050,1.000,1.020,3
5,13.240,586406,28831,1367,4,1000,0.100,0.050,1.000,1.020,4
6,11.121,493229,24216,1170,5,1000,0.100,0.050,1.000,1.020,5
7,8.003,358205,17428,762,6,1000,0.100,0.050,1.000,1.019,6
8,11.878,526924,25865,1148,7,1000,0.100,0.050,1.000,1.022,7
9,11.683,518165,25441,1160,8,1000,0.100,0.050,1.000,1.019,8
10,10.598,471025,23077,975,9,1000,0.100,0.050,1.000,1.015,9
1,10.770,502551,24653,1197,0,1000,0.100,0.050,1.000,1.021,0
2,10.552,492630,24153,1071,1,1000,0.100,0.050,1.000,1.022,1
3,10.152,474174,23239,1141,2,1000,0.100,0.050,1.000,1.014,2
4,10.731,500666,24564,1132,3,1000,0.100,0.050,1.000,1.016,3
5,9.429,441192,21584,1031,4,1000,0.100,0.050,1.000,1.019,4
6,8.389,393514,19203,855,5,1000,0.100,0.050,1.000,1.019,5
7,9.294,434953,21275,941,6,1000,0.100,0.050,1.000,1.019,6
8,11.973,557455,27407,1258,7,1000,0.100,0.050,1.000,1.018,7
9,9.106,426616,20843,982,8,1000,0.100,0.050,1.000,1.013,8
10,9.603,449032,21981,947,9,1000,0.100,0.050,1.000,1.012,9
1,8.955,412199,20148,984,0,1000,0.100,0.050,1.000,1.017,0
2,9.775,449319,21994,1043,1,1000,0.100,0.050,1.000,1.017,1
3,9.112,419724,20502,941,2,1000,0.100,0.050,1.000,1.020,2
4,8.948,412273,20134,939,3,1000,0.100,0.050,1.000,1.021,3
5,8.913,410590,20055,835,4,1000,0.100,0.050,1.000,1.016,4
6,12.328,564204,27738,1309,5,1000,0.100,0.050,1.000,1.020,5
7,10.000,459508,22500,1025,6,1000,0.100,0.050,1.000,1.019,6
8,7.928,366103,17839,789,7,1000,0.100,0.050,1.000,1.020,7
9,11.862,543355,26689,1239,8,1000,0.100,0.050,1.000,1.017,8
10,12.179,557619,27402,1311,9,1000,0.100,0.050,1.000,1.018,9
1,8.628,431737,21119,1022,0,1000,0.100,0.050,1.000,1.023,0
2,7.785,390759,19055,857,1,1000,0.100,0.050,1.000,1.015,1
3,10.306,514278,25227,1267,2,1000,0.100,0.050,1.000,1.025,2
4,10.365,516927,25370,1159,3,1000,0.100,0.050,1.000,1.020,3
5,8.867,443232,21704,993,4,1000,0.100,0.050,1.000,1.020,4
6,11.028,549403,26992,1262,5,1000,0.100,0.050,1.000,1.021,5
7,8.343,418189,20420,922,6,1000,0.100,0.050,1.000,1.023,6
8,14.428,715956,35315,1700,7,1000,0.100,0.050,1.000,1.032,7
9,9.380,468752,22960,1130,8,1000,0.100,0.050,1.000,1.014,8
10,10.870,541685,26606,1200,9,1000,0.100,0.050,1.000,1.019,9
1,10.417,494458,24248,1173,0,1000,0.100,0.050,1.000,1.019,0
2,7.239,346242,16850,744,1,1000,0.100,0.050,1.000,1.015,1
3,10.002,475287,23281,1097,2,1000,0.100,0.050,1.000,1.018,2
4,9.057,431166,21083,926,3,1000,0.100,0.050,1.000,1.018,3
5,7.905,377832,18401,808,4,1000,0.100,0.050,1.000,1.013,4
6,12.010,568867,27955,1317,5,1000,0.100,0.050,1.000,1.022,5
7,9.965,473170,23195,1126,6,1000,0.100,0.050,1.000,1.022,6
8,10.624,504116,24730,1161,7,1000,0.100,0.050,1.000,1.033,7
9,11.983,567549,27894,1276,8,1000,0.100,0.050,1.000,1.025,8
10,10.799,512138,25137,1195,9,1000,0.100,0.050,1.000,1.015,9
1,8.075,379576,18499,840,0,1000,0.100,0.050,1.000,1.015,0
2,9.762,456853,22363,1060,1,1000,0.100,0.050,1.000,1.025,1
3,7.562,355938,17323,758,2,1000,0.100,0.050,1.000,1.017,2
4,12.153,566120,27840,1317,3,1000,0.100,0.050,1.000,1.018,3
5,8.722,408890,19982,961,4,1000,0.100,0.050,1.000,1.019,4
6,10.979,512679,25151,1173,5,1000,0.100,0.050,1.000,1.026,5
7,11.257,525029,25788,1233,6,1000,0.100,0.050,1.000,1.022,6
8,9.704,454278,22230,1030,7,1000,0.100,0.050,1.000,1.024,7
9,10.116,472696,23175,1008,8,1000,0.100,0.050,1.000,1.016,8
10,11.670,544284,26735,1172,9,1000,0.100,0.050,1.000,1.020,9
1,9.419,458169,22426,1077,0,1000,0.100,0.050,1.000,1.015,0
2,8.528,415613,20306,957,1,1000,0.100,0.050,1.000,1.022,1
3,12.899,623691,30712,1451,2,1000,0.100,0.050,1.000,1.015,2
4,9.922,481728,23623,1115,3,1000,0.100,0.050,1.000,1.021,3
5,8.456,412141,20133,875,4,1000,0.100,0.050,1.000,1.017,4
6,8.503,414206,20246,882,5,1000,0.100,0.050,1.000,1.017,5
7,10.802,524184,25720,1185,6,1000,0.100,0.050,1.000,1.015,6
8,10.647,516687,25351,1142,7,1000,0.100,0.050,1.000,1.022,7
9,10.970,532205,26119,1170,8,1000,0.100,0.050,1.000,1.016,8
10,9.854,479058,23463,1060,9,1000,0.100,0.050,1.000,1.019,9
1,9.159,394767,19255,889,0,1000,0.100,0.050,1.000,1.019,0
2,8.827,380437,18558,837,1,1000,0.100,0.050,1.000,1.014,1
3,9.620,414063,20225,918,2,1000,0.100,0.050,1.000,1.018,2
4,13.022,556773,27376,1292,3,1000,0.100,0.050,1.000,1.023,3
5,7.720,334120,16231,704,4,1000,0.100,0.050,1.000,1.019,4
6,8.980,387082,18878,854,5,1000,0.100,0.050,1.000,1.017,5
7,12.240,524185,25733,1177,6,1000,0.100,0.050,1.000,1.023,6
8,9.325,401558,19604,912,7,1000,0.100,0.050,1.000,1.023,7
9,11.355,486878,23873,1132,8,1000,0.100,0.050,1.000,1.017,8
10,9.751,419347,20500,922,9,1000,0.100,0.050,1.000,1.019,9
1,10.063,513916,25245,1169,0,1000,0.100,0.050,1.000,1.022,0
2,12.088,615740,30325,1416,1,1000,0.100,0.050,1.000,1.020,1
3,6.467,333855,16224,783,2,1000,0.100,0.050,1.000,1.014,2
4,10.237,523272,25681,1133,3,1000,0.100,0.050,1.000,1.026,3
5,8.629,442432,21646,994,4,1000,0.100,0.050,1.000,1.021,4
6,11.090,566414,27821,1339,5,1000,0.100,0.050,1.000,1.014,5
7,10.362,529890,25995,1213,6,1000,0.100,0.050,1.000,1.020,6
8,11.691,595922,29329,1300,7,1000,0.100,0.050,1.000,1.024,7
9,10.344,528499,25950,1229,8,1000,0.100,0.050,1.000,1.021,8
10,9.027,462343,22645,1062,9,1000,0.100,0.050,1.000,1.020,9
1,10.910,521431,25606,1186,0,1000,0.100,0.050,1.000,1.023,0
2,8.659,415929,20324,929,1,1000,0.100,0.050,1.000,1.014,1
3,9.421,451709,22111,1044,2,1000,0.100,0.050,1.000,1.016,2
4,8.257,397256,19379,898,3,1000,0.100,0.050,1.000,1.022,3
5,11.604,554048,27236,1166,4,1000,0.100,0.050,1.000,1.017,4
6,9.168,439435,21517,969,5,1000,0.100,0.050,1.000,1.017,5
7,11.638,555801,27316,1269,6,1000,0.100,0.050,1.000,1.020,6
8,10.811,517139,25374,1153,7,1000,0.100,0.050,1.000,1.017,7
9,10.589,506633,24854,1106,8,1000,0.100,0.050,1.000,1.017,8
10,8.943,429021,20989,975,9,1000,0.100,0.050,1.000,1.018,9
1,8.967,451094,22080,1054,0,1000,0.100,0.050,1.000,1.028,0
2,7.723,389218,19016,835,1,1000,0.100,0.050,1.000,1.019,1
3,8.960,450449,22061,1037,2,1000,0.100,0.050,1.000,1.021,2
4,9.890,496470,24352,1137,3,1000,0.100,0.050,1.000,1.024,3
5,13.709,684479,33755,1699,4,1000,0.100,0.050,1.000,1.028,4
6,8.361,421294,20588,946,5,1000,0.100,0.050,1.000,1.021,5
7,9.235,464136,22738,1043,6,1000,0.100,0.050,1.000,1.016,6
8,10.499,526685,25852,1264,7,1000,0.100,0.050,1.000,1.022,7
9,13.130,656473,32330,1553,8,1000,0.100,0.050,1.000,1.022,8
10,9.526,478811,23455,1058,9,1000,0.100,0.050,1.000,1.019,9
1,7.506,389971,19032,846,0,1000,0.100,0.050,1.000,1.024,0
2,7.765,403215,19688,948,1,1000,0.100,0.050,1.000,1.019,1
3,9.043,467998,22928,1116,2,1000,0.100,0.050,1.000,1.023,2
4,10.236,528573,25954,1255,3,1000,0.100,0.050,1.000,1.018,3
5,11.923,614133,30231,1463,4,1000,0.100,0.050,1.000,1.023,4
6,9.457,489266,23979,1113,5,1000,0.100,0.050,1.000,1.019,5
7,10.481,541104,26574,1220,6,1000,0.100,0.050,1.000,1.023,6
8,11.511,593282,29185,1360,7,1000,0.100,0.050,1.000,1.026,7
9,11.493,592690,29140,1304,8,1000,0.100,0.050,1.000,1.024,8
10,10.584,546326,26836,1264,9,1000,0.100,0.050,1.000,1.026,9
1,8.176,393958,19225,865,0,1000,0.100,0.050,1.000,1.019,0
2,8.858,425954,20828,944,1,1000,0.100,0.050,1.000,1.020,1
3,7.461,359954,17544,865,2,1000,0.100,0.050,1.000,1.022,2
4,8.333,401153,19594,875,3,1000,0.100,0.050,1.000,1.017,3
5,10.219,490110,24029,1087,4,1000,0.100,0.050,1.000,1.017,4
6,16.285,775621,38293,1891,5,1000,0.100,0.050,1.000,1.030,5
7,9.671,464306,22741,1037,6,1000,0.100,0.050,1.000,1.021,6
8,9.619,461699,22618,1086,7,1000,0.100,0.050,1.000,1.020,7
9,11.080,530498,26053,1198,8,1000,0.100,0.050,1.000,1.018,8
10,10.297,494002,24211,1122,9,1000,0.100,0.050,1.000,1.023,9
1,11.523,560825,27561,1281,0,1000,0.100,0.050,1.000,1.019,0
2,9.651,470751,23082,1131,1,1000,0.100,0.050,1.000,1.019,1
3,8.087,396326,19343,837,2,1000,0.100,0.050,1.000,1.014,2
4,9.870,481875,23606,1099,3,1000,0.100,0.050,1.000,1.023,3
5,8.612,421394,20597,922,4,1000,0.100,0.050,1.000,1.018,4
6,9.544,465901,22827,1080,5,1000,0.100,0.050,1.000,1.017,5
7,9.195,449450,21992,999,6,1000,0.100,0.050,1.000,1.018,6
8,9.108,445215,21784,967,7,1000,0.100,0.050,1.000,1.019,7
9,12.732,618585,30451,1490,8,1000,0.100,0.050,1.000,1.025,8
10,11.679,568036,27934,1317,9,1000,0.100,0.050,1.000,1.024,9
1,8.437,406465,19865,983,0,1000,0.100,0.050,1.000,1.016,0
2,10.648,511064,25071,1176,1,1000,0.100,0.050,1.000,1.022,1
3,10.087,484495,23751,1104,2,1000,0.100,0.050,1.000,1.025,2
4,8.664,417512,20400,898,3,1000,0.100,0.050,1.000,1.025,3
5,12.668,606251,29828,1444,4,1000,0.100,0.050,1.000,1.021,4
6,8.410,405345,19802,920,5,1000,0.100,0.050,1.000,1.015,5
7,9.212,443349,21689,951,6,1000,0.100,0.050,1.000,1.013,6
8,10.092,484774,23761,1029,7,1000,0.100,0.050,1.000,1.021,7
9,9.979,479327,23495,1025,8,1000,0.100,0.050,1.000,1.024,8
10,11.804,565287,27793,1309,9,1000,0.100,0.050,1.000,1.020,9
1,9.151,453214,22185,1059,0,1000,0.100,0.050,1.000,1.016,0
2,9.812,485262,23789,1088,1,1000,0.100,0.050,1.000,1.020,1
3,9.596,474692,23264,1081,2,1000,0.100,0.050,1.000,1.022,2
4,10.302,509140,24977,1163,3,1000,0.100,0.050,1.000,1.016,3
5,12.444,613183,30170,1412,4,1000,0.100,0.050,1.000,1.020,4
6,8.896,441106,21568,991,5,1000,0.100,0.050,1.000,1.016,5
